#MZ SEK INT
536.3297 560 0.9098
584.6127 560 0.0217
601.8049 560 0.8359
682.3510 560 0.1296
703.3232 560 0.0060
706.3247 560 0.0002
720.9009 560 0.9076
728.8570 560 0.0019
802.0708 560 0.8359
806.9075 560 0.8185
876.4154 560 0.0217
902.4433 560 0.0000
1023.0229 560 0.1296
1071.6521 560 0.9098
271.2632 562 0.0039
279.0933 562 0.0051
352.1652 562 0.0308
357.8889 562 0.6069
468.2523 562 0.0002
480.9363 562 1.0006
512.0151 562 0.3986
538.2741 562 0.4973
536.3297 562 0.6069
584.6127 562 0.0694
601.8049 562 0.9224
682.3510 562 0.3986
703.3232 562 0.0308
706.3247 562 0.0010
720.9009 562 1.0006
728.8570 562 0.0002
802.0708 562 0.9224
806.9075 562 0.4973
876.4154 562 0.0694
1023.0229 562 0.3986
1071.6521 562 0.6069
271.2632 564 0.0013
279.0933 564 0.0006
352.1652 564 0.1183
357.8889 564 0.2766
468.2523 564 0.0042
480.9363 564 0.6807
512.0151 564 0.7693
538.2741 564 0.2396
536.3297 564 0.2766
584.6127 564 0.1840
601.8049 564 0.6343
682.3510 564 0.7693
703.3232 564 0.1183
706.3247 564 0.0039
720.9009 564 0.6807
802.0708 564 0.6343
806.3538 564 0.1390
806.9075 564 0.2396
876.4154 564 0.1840
1023.0229 564 0.7693
1071.6521 564 0.2766
271.2632 566 0.0004
279.0933 566 0.0000
352.1652 566 0.3330
357.8889 566 0.0864
468.2523 566 0.0413
480.9363 566 0.2875
512.0151 566 0.9376
538.2741 566 0.0930
536.3297 566 0.0864
584.6127 566 0.3984
601.8049 566 0.3082
682.3510 566 0.9376
703.3232 566 0.3330
706.3247 566 0.0110
720.9009 566 0.2875
802.0708 566 0.3082
806.3538 566 0.3336
876.4154 566 0.3984
1023.0229 566 0.9376
1071.6521 566 0.0864
265.2162 568 0.0000
271.2632 568 0.0001
279.0933 568 0.0000
352.1652 568 0.6660
357.8889 568 0.0186
447.3316 568 0.0000
468.2523 568 0.1966
480.9363 568 0.0755
512.0151 568 0.7250
536.3297 568 0.0186
538.2741 568 0.0295
584.6127 568 0.6945
601.8049 568 0.1159
682.3510 568 0.7250
703.3232 568 0.6660
706.3247 568 0.0220
720.9009 568 0.0755
802.0708 568 0.1159
806.3538 568 0.6111
876.4154 568 0.6945
1023.0229 568 0.7250
1071.6521 568 0.0186
251.2006 570 0.0000
265.2162 570 0.0000
271.2632 570 0.0000
279.0933 570 0.0000
352.1652 570 0.9134
357.8889 570 0.0027
447.3316 570 0.0000
468.2523 570 0.5266
480.9363 570 0.0123
512.0151 570 0.3553
536.3297 570 0.0027
538.2741 570 0.0078
584.6127 570 0.9600
601.8049 570 0.0359
682.3510 570 0.3553
701.8748 570 0.5266
703.3232 570 0.9134
706.3247 570 0.0302
720.9009 570 0.0123
802.0708 570 0.0359
806.3538 570 0.8804
876.4154 570 0.9600
1023.0229 570 0.3553
1071.6521 570 0.0027
251.2006 572 0.0004
265.2162 572 0.0001
271.2632 572 0.0000
352.1652 572 0.8222
357.8889 572 0.0003
447.3316 572 0.0002
468.2523 572 0.8770
480.9363 572 0.0012
512.0151 572 0.1093
538.2741 572 0.0017
584.6127 572 1.0351
601.8049 572 0.0096
682.3510 572 0.1093
701.8748 572 0.8770
703.3232 572 0.8222
706.3247 572 0.0272
720.9009 572 0.0012
802.0708 572 0.0096
806.3538 572 1.0235
876.4154 572 1.0351
1023.0229 572 0.1093
1071.6521 572 0.0003
251.2006 574 0.0006
265.2162 574 0.0003
271.2632 574 0.0000
352.1652 574 0.4615
357.8889 574 0.0000
447.3316 574 0.0011
468.2523 574 0.9770
480.9363 574 0.0001
512.0151 574 0.0207
538.2741 574 0.0003
584.6127 574 0.8556
601.8049 574 0.0023
682.3510 574 0.0207
703.3232 574 0.4615
701.8748 574 0.9770
706.3247 574 0.0153
720.9009 574 0.0001
802.0708 574 0.0023
808.3997 574 0.8104
806.3538 574 0.9819
876.4154 574 0.8556
1023.0229 574 0.0207
1071.6521 574 0.0000
251.2006 576 0.0010
265.2162 576 0.0014
352.1652 576 0.1521
407.2633 576 0.0000
447.3316 576 0.0046
468.2523 576 0.7694
480.9363 576 0.0000
512.0151 576 0.0024
538.2741 576 0.0001
584.6127 576 0.5320
601.8049 576 0.0005
682.3510 576 0.0024
701.8748 576 0.7694
706.3247 576 0.0050
720.9009 576 0.0000
802.0708 576 0.0005
806.3538 576 0.7926
808.3997 576 0.9746
813.5193 576 0.0000
876.4154 576 0.5320
1023.0229 576 0.0024
251.2006 578 0.0015
265.2162 578 0.0050
352.1652 578 0.0275
407.2633 578 0.0001
447.3316 578 0.0160
468.2523 578 0.4475
512.0151 578 0.0002
538.2741 578 0.0000
584.6127 578 0.2437
597.7746 578 0.0000
601.8049 578 0.0001
682.3510 578 0.0002
701.8748 578 0.4475
706.3247 578 0.0009
802.0708 578 0.0001
808.3997 578 0.4184
806.3538 578 0.5473
813.5193 578 0.0001
876.4154 578 0.2437
891.4717 578 0.0000
1023.0229 578 0.0002
1194.5419 578 0.0000
251.2006 580 0.0023
265.2162 580 0.0159
352.1652 580 0.0025
407.2633 580 0.0017
447.3316 580 0.0473
468.2523 580 0.1995
512.0151 580 0.0000
584.6127 580 0.0803
597.7746 580 0.0001
604.9967 580 0.0001
627.7710 580 0.0000
682.3510 580 0.0000
701.8748 580 0.1995
706.3247 580 0.0001
806.3538 580 0.3281
813.5193 580 0.0017
876.4154 580 0.0803
891.4717 580 0.0006
906.9914 580 0.0001
1023.0229 580 0.0000
1194.5419 580 0.0001
251.2006 582 0.0036
265.2162 582 0.0440
352.1652 582 0.0001
364.6871 582 0.0000
407.2633 582 0.0180
447.3316 582 0.1183
468.2523 582 0.0703
485.9138 582 0.0000
584.6127 582 0.0185
597.7746 582 0.0014
604.9967 582 0.0022
627.7710 582 0.0008
701.8748 582 0.0703
706.3247 582 0.0000
728.3670 582 0.0000
806.3538 582 0.1730
813.5193 582 0.0180
876.4154 582 0.0185
891.4717 582 0.0080
906.9914 582 0.0022
1194.5419 582 0.0014
251.2006 584 0.0054
265.2162 584 0.1052
352.1652 584 0.0000
364.6871 584 0.0005
407.2633 584 0.1056
447.3316 584 0.2510
468.2523 584 0.0201
475.3629 584 0.0692
485.9138 584 0.0005
584.6127 584 0.0029
597.7746 584 0.0159
604.9967 584 0.0249
627.7710 584 0.0082
701.8748 584 0.0201
706.3247 584 0.0000
728.3670 584 0.0005
806.3538 584 0.0811
813.5193 584 0.1056
876.4154 584 0.0029
891.4717 584 0.0568
906.9914 584 0.0249
1194.5419 584 0.0159
251.2006 586 0.0079
265.2162 586 0.2177
364.6871 586 0.0049
407.2633 586 0.3595
446.2395 586 0.2280
447.3316 586 0.4514
468.2523 586 0.0048
475.3629 586 0.0510
485.9138 586 0.0049
584.6127 586 0.0003
597.7746 586 0.0986
604.9967 586 0.1478
627.7710 586 0.0499
701.8748 586 0.0048
728.3670 586 0.0049
806.3538 586 0.0342
813.5193 586 0.3595
876.4154 586 0.0003
891.4717 586 0.2280
906.9914 586 0.1478
1194.5419 586 0.0986
251.2006 588 0.0115
257.2475 588 0.0000
265.2162 588 0.3899
282.1416 588 0.0000
364.6871 588 0.0343
407.2633 588 0.7425
446.2395 588 0.5564
447.3316 588 0.6881
468.2523 588 0.0010
475.3629 588 0.0370
485.9138 588 0.0343
563.2759 588 0.0000
584.6127 588 0.0000
597.7746 588 0.3484
604.9967 588 0.4819
627.7710 588 0.1908
701.8748 588 0.0010
728.3670 588 0.0343
806.3538 588 0.0131
813.5193 588 0.7425
876.4154 588 0.0000
891.4717 588 0.5564
906.9914 588 0.4819
1194.5419 588 0.3484
257.2475 590 0.0000
265.2162 590 0.6039
282.1416 590 0.0012
364.6871 590 0.1562
407.2633 590 0.9755
446.2395 590 0.8766
447.3316 590 0.8890
468.2523 590 0.0002
475.3629 590 0.0264
485.9138 590 0.1562
563.2759 590 0.0012
584.6127 590 0.0000
597.7746 590 0.7402
604.9967 590 0.9016
627.7710 590 0.4756
701.8748 590 0.0002
717.0290 590 0.0001
728.3670 590 0.1562
806.3538 590 0.0046
813.5193 590 0.9755
876.4154 590 0.0000
891.4717 590 0.8766
906.9914 590 0.9016
1075.0399 590 0.0001
1194.5419 590 0.7402
257.2475 592 0.0000
265.2162 592 0.8087
282.1416 592 0.0155
364.6871 592 0.4567
407.2633 592 0.8548
446.2395 592 0.9366
447.3316 592 0.9739
468.2523 592 0.0000
475.3629 592 0.0185
485.9138 592 0.4567
563.2759 592 0.0155
597.7746 592 0.9979
604.9967 592 1.0087
627.7710 592 0.7951
701.8748 592 0.0000
717.0290 592 0.0006
728.3670 592 0.4567
806.3538 592 0.0015
813.5193 592 0.8548
891.4717 592 0.9366
906.9914 592 1.0087
1075.0399 592 0.0006
1194.5419 592 0.9979
257.2475 594 0.0001
265.2162 594 0.9359
282.1416 594 0.1007
364.6871 594 0.8536
407.2633 594 0.5222
475.3629 594 0.0127
485.9138 594 0.8536
563.2759 594 0.1007
597.7746 594 0.9004
604.9967 594 0.7009
627.7710 594 0.9123
717.0290 594 0.0029
728.3670 594 0.8536
806.3538 594 0.0004
813.5193 594 0.5222
891.4717 594 0.7061
906.9914 594 0.7009
1075.0399 594 0.0029
1194.5419 594 0.9004
257.2475 596 0.0001
265.2162 596 0.9358
282.1416 596 0.3551
364.6871 596 1.0167
407.2633 596 0.2314
485.9138 596 1.0167
531.4772 596 0.0000
563.2759 596 0.3551
597.7746 596 0.5707
604.9967 596 0.3132
627.7710 596 0.7313
717.0290 596 0.0128
728.3670 596 1.0167
806.3538 596 0.0001
813.5193 596 0.2314
891.4717 596 0.3880
906.9914 596 0.3132
1075.0399 596 0.0128
1194.5419 596 0.5707
257.2475 598 0.0002
265.2162 598 0.8082
282.1416 598 0.7264
363.9597 598 0.4534
364.6871 598 0.7704
407.2633 598 0.0770
484.9438 598 0.4534
485.9138 598 0.7704
531.4772 598 0.4191
