peak_index	scan_num	mz	intensity	fwhm	signal_noise	MSFeatureID
621	0	486.27114	214166	0.0087	100	254
622	0	487.06354	1640651	0.0087	32.83	-1
623	0	487.08304	392333	0.0087	7.85	-1
624	0	487.20324	345580	0.0091	100	234
625	0	487.26065	119189	0.0122	100	-1
626	0	487.53613	419426	0.0103	100	234
627	0	487.75055	241866	0.0096	100	160
628	0	487.87085	189561	0.0062	100	234
629	0	488.06582	336033	0.0089	100	295
630	0	488.26015	587211	0.0096	100	160
631	0	488.62759	300239	0.0083	100	316
632	0	488.74893	3818361	0.0088	100	12
633	0	488.77776	137514	0.0094	100	160
634	0	488.96143	106034	0.0094	100	316
635	0	489.05979	248523	0.0081	100	295
636	0	489.25085	2102839	0.009	46.54	12
637	0	489.27396	1195449	0.0091	26.46	160
